YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,14.0
9.1 Start,1,26.0
9.1 Finish,1,37.0
11.1 Start,1,47.0
11.1 Finish,1,55.0
11.2 Start,1,67.0
11.2 Finish,1,79.0
12.1 Start,2,87.0
12.1 Finish,2,98.0
12.2 Start,2,110.0
12.2 Finish,2,120.0
12.3 Start,2,129.0
12.3 Finish,2,139.0
13.1 Start,3,150.0
13.1 Finish,3,160.0
13.2 Start,4,171.0
13.2 Finish,4,180.0
13.3 Start,4,191.0
13.3 Finish,4,202.0
13.4 Start,5,212.0
13.4 Finish,5,222.0
14.1 Start,6,232.0
14.1 Finish,6,241.0
14.2 Start,6,251.0
14.2 Finish,6,260.0
14.3 Start,7,272.0
14.3 Finish,7,281.0
14.4 Start,7,292.0
14.4 Finish,7,301.0
14.5 Start,7,311.0
14.5 Finish,7,321.0
14.6 Start,8,331.0
14.6 Finish,8,340.0
14.7 Start,8,351.0
14.7 Finish,8,360.0
14.8 Start,9,371.0
14.8 Finish,9,380.0
15.1 Start,9,391.0
15.1 Finish,9,399.0
15.2 Start,9,411.0
15.2 Finish,9,419.0
15.3 Start,9,430.0
15.3 Finish,9,437.0
15.4 Start,9,449.0
15.4 Finish,9,459.0
15.5 Start,9,469.0
15.5 Finish,9,479.0
15.6 Start,9,488.0
15.6 Finish,9,497.0
15.7 Start,9,509.0
15.7 Finish,9,518.0
15.8 Start,10,527.0
15.8 Finish,10,537.0
16.1 Start,10,547.0
16.1 Finish,10,557.0
16.2 Start,10,567.0
16.2 Finish,10,577.0
