YoYo Test Level,RPE,Time
5.1 Start,2,0.0
5.1 Finish,2,12.0
9.1 Start,2,25.0
9.1 Finish,2,35.0
11.1 Start,2,47.0
11.1 Finish,3,58.0
11.2 Start,3,68.0
11.2 Finish,3,79.0
12.1 Start,4,90.0
12.1 Finish,4,99.0
12.2 Start,4,108.0
12.2 Finish,4,120.0
12.3 Start,4,131.0
12.3 Finish,4,140.0
13.1 Start,4,151.0
13.1 Finish,4,160.0
13.2 Start,4,175.0
13.2 Finish,5,185.0
13.3 Start,5,195.0
13.3 Finish,5,205.0
13.4 Start,5,213.0
13.4 Finish,6,222.0
14.1 Start,6,232.0
14.1 Finish,6,242.0
14.2 Start,6,253.0
14.2 Finish,6,262.0
14.3 Start,7,273.0
14.3 Finish,7,282.0
14.4 Start,7,292.0
14.4 Finish,7,302.0
14.5 Start,7,312.0
14.5 Finish,7,323.0
14.6 Start,8,333.0
14.6 Finish,8,343.0
14.7 Start,8,352.0
14.7 Finish,8,362.0
14.8 Start,8,372.0
14.8 Finish,8,382.0
15.1 Start,9,392.0
15.1 Finish,9,403.0
15.2 Start,9,412.0
15.2 Finish,9,421.0
15.3 Start,9,431.0
15.3 Finish,9,442.0
15.4 Start,9,452.0
15.4 Finish,9,462.0
15.5 Start,9,471.0
15.5 Finish,9,481.0
15.6 Start,9,490.0
15.6 Finish,9,501.0
15.7 Start,9,510.0
15.7 Finish,9,521.0
15.8 Start,9,529.0
15.8 Finish,9,540.0
