YoYo Test Level,RPE,Time
5.1 Start,1,0
5.1 Finish,1,11
9.1 Start,2,25
9.1 Finish,2,35
11.1 Start,2,47
11.1 Finish,3,56
11.2 Start,3,68
11.2 Finish,3,78
12.1 Start,3,88
12.1 Finish,4,98
12.2 Start,4,109
12.2 Finish,4,119
5.1 Start,3,234
5.1 Finish,3,247
9.1 Start,3,259
9.1 Finish,3,269
11.1 Start,3,281
11.1 Finish,3,290
11.2 Start,4,302
11.2 Finish,4,312
12.1 Start,4,322
12.1 Finish,5,333
12.2 Start,5,344
12.2 Finish,6,353
12.3 Start,6,364
12.3 Finish,6,374
13.1 Start,6,385
13.1 Finish,7,395
13.2 Start,7,405
13.2 Finish,7,416
13.3 Start,7,426
13.3 Finish,8,435
13.4 Start,8,446
13.4 Finish,9,456
14.1 Start,9,466
14.1 Finish,10,476
14.2 Start,10,487
14.2 Finish,10,498
