YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,3,12.0
9.1 Start,3,24.0
9.1 Finish,3,36.0
11.1 Start,3,45.0
11.1 Finish,3,58.0
11.2 Start,3,68.0
11.2 Finish,3,78.0
12.1 Start,3,88.0
12.1 Finish,3,99.0
12.2 Start,4,108.0
12.2 Finish,4,119.0
12.3 Start,4,129.0
12.3 Finish,4,139.0
13.1 Start,4,151.0
13.1 Finish,4,161.0
13.2 Start,4,171.0
13.2 Finish,4,181.0
13.3 Start,5,191.0
13.3 Finish,5,202.0
13.4 Start,5,211.0
13.4 Finish,5,221.0
14.1 Start,5,233.0
14.1 Finish,5,243.0
14.2 Start,5,253.0
14.2 Finish,5,262.0
14.3 Start,5,272.0
14.3 Finish,5,281.0
14.4 Start,5,291.0
14.4 Finish,5,301.0
14.5 Start,5,311.0
14.5 Finish,5,321.0
14.6 Start,5,331.0
14.6 Finish,5,341.0
14.7 Start,5,351.0
14.7 Finish,5,361.0
14.8 Start,5,372.0
14.8 Finish,5,381.0
15.1 Start,6,391.0
15.1 Finish,6,401.0
15.2 Start,6,410.0
15.2 Finish,6,420.0
15.3 Start,6,430.0
15.3 Finish,6,441.0
15.4 Start,6,450.0
15.4 Finish,6,459.0
15.5 Start,6,468.0
15.5 Finish,6,479.0
15.6 Start,6,489.0
15.6 Finish,6,499.0
15.7 Start,6,508.0
15.7 Finish,6,518.0
15.8 Start,6,528.0
15.8 Finish,6,537.0
16.1 Start,6,548.0
16.1 Finish,6,558.0
16.2 Start,7,568.0
16.2 Finish,7,576.0
16.3 Start,7,586.0
16.3 Finish,7,596.0
16.4 Start,7,605.0
16.4 Finish,7,616.0
16.5 Start,7,626.0
16.5 Finish,7,634.0
16.6 Start,7,644.0
16.6 Finish,7,655.0
16.7 Start,7,663.0
16.7 Finish,7,672.0
16.8 Start,7,682.0
16.8 Finish,7,692.0
17.1 Start,7,702.0
17.1 Finish,7,711.0
17.2 Start,8,721.0
17.2 Finish,8,731.0
17.3 Start,8,740.0
17.3 Finish,8,750.0
17.4 Start,8,759.0
17.4 Finish,8,768.0
17.5 Start,8,777.0
17.5 Finish,8,787.0
17.6 Start,8,797.0
17.6 Finish,8,806.0
17.7 Start,9,815.0
17.7 Finish,9,825.0
17.8 Start,9,834.0
17.8 Finish,9,846.0
18.1 Start,9,855.0
18.1 Finish,9,864.0
18.2 Start,9,872.0
18.2 Finish,9,882.0
18.3 Start,9,891.0
18.3 Finish,9,901.0
18.4 Start,9,911.0
18.4 Finish,9,919.0
18.5 Start,9,929.0
18.5 Finish,9,938.0
18.6 Start,10,947.0
18.6 Finish,10,957.0
18.7 Start,10,966.0
18.7 Finish,10,976.0
18.8 Start,10,985.0
18.8 Finish,10,994.0
19.1 Start,10,1004.0
19.1 Finish,10,1013.0
19.2 Start,10,1022.0
19.2 Finish,10,1032.0
19.3 Start,10,1041.0
19.3 Finish,10,1051.0
19.4 Start,10,1059.0
19.4 Finish,10,1069.0
