YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,11.0
9.1 Start,1,24.0
9.1 Finish,1,36.0
11.1 Start,1,46.0
11.1 Finish,1,57.0
11.2 Start,1,68.0
11.2 Finish,1,79.0
12.1 Start,1,89.0
12.1 Finish,2,99.0
12.2 Start,2,110.0
12.2 Finish,2,120.0
12.3 Start,2,131.0
12.3 Finish,2,140.0
13.1 Start,2,150.0
13.1 Finish,3,160.0
13.2 Start,3,171.0
13.2 Finish,3,181.0
13.3 Start,3,192.0
13.3 Finish,3,202.0
13.4 Start,3,212.0
13.4 Finish,3,222.0
14.1 Start,4,232.0
14.1 Finish,4,242.0
14.2 Start,4,253.0
14.2 Finish,4,261.0
14.3 Start,5,273.0
14.3 Finish,5,281.0
14.4 Start,5,292.0
14.4 Finish,5,302.0
14.5 Start,5,312.0
14.5 Finish,5,321.0
14.6 Start,5,330.0
14.6 Finish,5,342.0
14.7 Start,5,351.0
14.7 Finish,5,362.0
14.8 Start,6,372.0
14.8 Finish,6,381.0
15.1 Start,6,392.0
15.1 Finish,6,402.0
15.2 Start,6,412.0
15.2 Finish,7,420.0
15.3 Start,7,430.0
15.3 Finish,7,440.0
15.4 Start,7,451.0
15.4 Finish,7,460.0
15.5 Start,7,471.0
15.5 Finish,7,480.0
15.6 Start,7,489.0
15.6 Finish,7,499.0
15.7 Start,7,509.0
15.7 Finish,7,518.0
15.8 Start,7,529.0
15.8 Finish,7,539.0
16.1 Start,8,549.0
16.1 Finish,8,558.0
16.2 Start,8,568.0
16.2 Finish,8,577.0
16.3 Start,8,587.0
16.3 Finish,8,599.0
16.4 Start,9,607.0
16.4 Finish,9,617.0
16.5 Start,9,627.0
16.5 Finish,9,635.0
