YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,11.0
9.1 Start,2,15.0
9.1 Finish,2,36.0
11.1 Start,2,45.0
11.1 Finish,2,57.0
11.2 Start,2,67.0
11.2 Finish,3,78.0
12.1 Start,3,88.0
12.1 Finish,3,98.0
12.2 Start,3,109.0
12.2 Finish,3,119.0
12.3 Start,3,128.0
12.3 Finish,3,139.0
13.1 Start,4,151.0
13.1 Finish,4,160.0
13.2 Start,4,170.0
13.2 Finish,4,179.0
13.3 Start,4,191.0
13.3 Finish,4,200.0
13.4 Start,4,212.0
13.4 Finish,4,221.0
14.1 Start,4,232.0
14.1 Finish,4,241.0
14.2 Start,5,252.0
14.2 Finish,5,261.0
14.3 Start,5,269.0
14.3 Finish,5,281.0
14.4 Start,5,292.0
14.4 Finish,5,301.0
14.5 Start,5,312.0
14.5 Finish,5,321.0
14.6 Start,6,330.0
14.6 Finish,6,340.0
14.7 Start,6,351.0
14.7 Finish,6,361.0
14.8 Start,6,371.0
14.8 Finish,6,380.0
15.1 Start,7,391.0
15.1 Finish,7,400.0
15.2 Start,7,411.0
15.2 Finish,7,420.0
15.3 Start,7,430.0
15.3 Finish,7,440.0
15.4 Start,7,450.0
15.4 Finish,7,459.0
15.5 Start,8,468.0
15.5 Finish,8,479.0
15.6 Start,8,489.0
15.6 Finish,8,499.0
15.7 Start,8,508.0
15.7 Finish,8,518.0
15.8 Start,8,529.0
15.8 Finish,9,537.0
16.1 Start,9,547.0
16.1 Finish,9,557.0
16.2 Start,9,567.0
16.2 Finish,9,577.0
16.3 Start,9,587.0
16.3 Finish,9,596.0
16.4 Start,10,606.0
16.4 Finish,10,616.0
16.5 Start,10,626.0
16.5 Finish,10,634.0
16.6 Start,10,643.0
16.6 Finish,10,653.0
16.7 Start,10,664.0
16.7 Finish,10,673.0
