YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,13.0
9.1 Start,1,25.0
9.1 Finish,1,36.0
11.1 Start,1,48.0
11.1 Finish,2,57.0
11.2 Start,2,69.0
11.2 Finish,2,80.0
12.1 Start,3,89.0
12.1 Finish,3,99.0
12.2 Start,3,111.0
12.2 Finish,3,120.0
12.3 Start,4,130.0
12.3 Finish,4,141.0
13.1 Start,5,151.0
13.1 Finish,5,161.0
13.2 Start,5,172.0
13.2 Finish,6,183.0
13.3 Start,7,192.0
13.3 Finish,7,203.0
13.4 Start,7,212.0
13.4 Finish,7,223.0
14.1 Start,7,233.0
14.1 Finish,9,245.0
14.2 Start,10,253.0
14.2 Finish,10,263.0
14.3 Start,10,272.0
14.3 Finish,10,281.0
