YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,13.0
9.1 Start,2,24.0
9.1 Finish,2,35.0
11.1 Start,2,47.0
11.1 Finish,3,55.0
11.2 Start,3,67.0
11.2 Finish,3,77.0
12.1 Start,4,88.0
12.1 Finish,4,98.0
12.2 Start,4,109.0
12.2 Finish,4,119.0
12.3 Start,4,130.0
12.3 Finish,4,140.0
13.1 Start,4,150.0
13.1 Finish,4,161.0
13.2 Start,5,171.0
13.2 Finish,5,182.0
13.3 Start,5,192.0
13.3 Finish,5,201.0
13.4 Start,5,208.0
13.4 Finish,5,221.0
14.1 Start,5,231.0
14.1 Finish,5,242.0
14.2 Start,5,251.0
14.2 Finish,5,261.0
14.3 Start,6,271.0
14.3 Finish,6,281.0
14.4 Start,6,292.0
14.4 Finish,6,301.0
14.5 Start,6,311.0
14.5 Finish,6,320.0
14.6 Start,6,330.0
14.6 Finish,6,340.0
14.7 Start,7,351.0
14.7 Finish,7,360.0
14.8 Start,7,371.0
14.8 Finish,7,381.0
15.1 Start,7,391.0
15.1 Finish,7,400.0
15.2 Start,7,410.0
15.2 Finish,7,419.0
15.3 Start,7,430.0
15.3 Finish,7,439.0
15.4 Start,8,450.0
15.4 Finish,8,458.0
15.5 Start,8,469.0
15.5 Finish,8,478.0
15.6 Start,8,488.0
15.6 Finish,8,498.0
15.7 Start,8,508.0
15.7 Finish,8,518.0
15.8 Start,8,528.0
15.8 Finish,8,538.0
16.1 Start,9,547.0
16.1 Finish,9,557.0
16.2 Start,9,566.0
16.2 Finish,9,576.0
16.3 Start,9,586.0
16.3 Finish,9,596.0
16.4 Start,9,605.0
16.4 Finish,9,615.0
16.5 Start,10,625.0
16.5 Finish,10,634.0
16.6 Start,10,645.0
16.6 Finish,10,653.0
16.7 Start,10,663.0
16.7 Finish,10,672.0
16.8 Start,10,682.0
16.8 Finish,10,692.0
17.1 Start,10,702.0
17.1 Finish,10,711.0
17.2 Start,10,721.0
17.2 Finish,10,730.0
17.3 Start,10,741.0
17.3 Finish,10,749.0
17.4 Start,10,759.0
17.4 Finish,10,768.0
17.5 Start,10,778.0
17.5 Finish,10,787.0
