YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,14.0
9.1 Start,2,25.0
9.1 Finish,2,37.0
11.1 Start,3,47.0
11.1 Finish,3,59.0
11.2 Start,3,69.0
11.2 Finish,3,80.0
12.1 Start,4,90.0
12.1 Finish,4,100.0
12.2 Start,4,110.0
12.2 Finish,4,121.0
12.3 Start,4,131.0
12.3 Finish,4,141.0
13.1 Start,5,152.0
13.1 Finish,5,162.0
13.2 Start,5,172.0
13.2 Finish,5,182.0
13.3 Start,5,193.0
13.3 Finish,5,204.0
13.4 Start,5,213.0
13.4 Finish,5,223.0
14.1 Start,6,234.0
14.1 Finish,6,243.0
14.2 Start,7,253.0
14.2 Finish,7,263.0
14.3 Start,7,273.0
14.3 Finish,7,284.0
