YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,14.0
9.1 Start,1,25.0
9.1 Finish,2,36.0
11.1 Start,2,47.0
11.1 Finish,2,59.0
11.2 Start,3,67.0
11.2 Finish,4,78.0
12.1 Start,5,88.0
12.1 Finish,5,98.0
12.2 Start,5,109.0
12.2 Finish,5,119.0
12.3 Start,5,130.0
12.3 Finish,5,140.0
13.1 Start,5,150.0
13.1 Finish,5,160.0
13.2 Start,5,170.0
13.2 Finish,5,181.0
13.3 Start,5,191.0
13.3 Finish,6,201.0
13.4 Start,6,212.0
13.4 Finish,6,221.0
14.1 Start,6,232.0
14.1 Finish,6,241.0
14.2 Start,6,251.0
14.2 Finish,6,261.0
14.3 Start,6,271.0
14.3 Finish,6,281.0
14.4 Start,6,291.0
14.4 Finish,6,301.0
14.5 Start,7,312.0
14.5 Finish,7,321.0
14.6 Start,7,332.0
14.6 Finish,7,341.0
14.7 Start,7,352.0
14.7 Finish,7,360.0
14.8 Start,7,371.0
14.8 Finish,7,380.0
15.1 Start,7,390.0
15.1 Finish,7,400.0
15.2 Start,7,411.0
15.2 Finish,7,420.0
15.3 Start,7,431.0
15.3 Finish,7,440.0
15.4 Start,7,450.0
15.4 Finish,7,459.0
15.5 Start,7,469.0
15.5 Finish,7,479.0
15.6 Start,7,489.0
15.6 Finish,7,499.0
15.7 Start,7,509.0
15.7 Finish,7,518.0
15.8 Start,7,527.0
15.8 Finish,7,537.0
16.1 Start,7,547.0
16.1 Finish,7,558.0
16.2 Start,7,567.0
16.2 Finish,7,576.0
16.3 Start,8,586.0
16.3 Finish,8,593.0
16.4 Start,8,605.0
16.4 Finish,8,615.0
16.5 Start,8,625.0
16.5 Finish,8,635.0
16.6 Start,8,644.0
16.6 Finish,8,659.0
16.7 Start,8,664.0
16.7 Finish,9,672.0
16.8 Start,9,683.0
16.8 Finish,9,692.0
17.1 Start,9,701.0
17.1 Finish,9,712.0
17.2 Start,9,721.0
17.2 Finish,9,730.0
17.3 Start,9,741.0
17.3 Finish,9,749.0
17.4 Start,9,759.0
17.4 Finish,9,768.0
17.5 Start,10,778.0
17.5 Finish,10,787.0
17.6 Start,10,798.0
17.6 Finish,10,807.0
17.7 Start,10,816.0
17.7 Finish,10,826.0
17.8 Start,10,835.0
17.8 Finish,10,846.0
18.1 Start,10,854.0
18.1 Finish,10,865.0
