YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,14.0
9.1 Start,1,26.0
9.1 Finish,1,37.0
11.1 Start,1,47.0
11.1 Finish,2,57.0
11.2 Start,3,68.0
11.2 Finish,3,79.0
12.1 Start,4,90.0
12.1 Finish,4,99.0
12.2 Start,4,111.0
12.2 Finish,5,120.0
12.3 Start,5,131.0
12.3 Finish,5,141.0
13.1 Start,5,151.0
13.1 Finish,5,161.0
13.2 Start,5,172.0
13.2 Finish,5,182.0
13.3 Start,6,192.0
13.3 Finish,6,202.0
13.4 Start,6,211.0
13.4 Finish,6,222.0
14.1 Start,6,232.0
14.1 Finish,6,242.0
14.2 Start,7,252.0
14.2 Finish,7,262.0
14.3 Start,7,272.0
14.3 Finish,7,282.0
14.4 Start,7,292.0
14.4 Finish,7,302.0
14.5 Start,8,312.0
14.5 Finish,8,321.0
14.6 Start,8,332.0
14.6 Finish,8,342.0
14.7 Start,8,353.0
14.7 Finish,8,362.0
14.8 Start,9,373.0
14.8 Finish,9,382.0
15.1 Start,9,393.0
15.1 Finish,9,402.0
15.2 Start,9,412.0
15.2 Finish,9,421.0
15.3 Start,9,431.0
15.3 Finish,9,441.0
15.4 Start,9,451.0
15.4 Finish,9,460.0
15.5 Start,9,471.0
15.5 Finish,10,480.0
15.6 Start,10,491.0
15.6 Finish,10,500.0
15.7 Start,10,510.0
15.7 Finish,10,519.0
15.8 Start,10,529.0
15.8 Finish,10,539.0
16.1 Start,10,550.0
16.1 Finish,10,559.0
16.2 Start,10,568.0
16.2 Finish,10,577.0
