YoYo Test Level,RPE,Time
5.1 Start,1,0.0
5.1 Finish,1,14.0
9.1 Start,1,24.0
9.1 Finish,1,35.0
11.1 Start,1,46.0
11.1 Finish,1,56.0
11.2 Start,1,67.0
11.2 Finish,2,77.0
12.1 Start,2,88.0
12.1 Finish,2,98.0
12.2 Start,3,110.0
12.2 Finish,3,120.0
12.3 Start,3,132.0
12.3 Finish,3,142.0
13.1 Start,3,150.0
13.1 Finish,3,160.0
13.2 Start,3,170.0
13.2 Finish,3,180.0
13.3 Start,4,190.0
13.3 Finish,4,200.0
13.4 Start,4,211.0
13.4 Finish,4,221.0
14.1 Start,5,232.0
14.1 Finish,5,241.0
14.2 Start,5,250.0
14.2 Finish,5,261.0
14.3 Start,5,271.0
14.3 Finish,5,281.0
14.4 Start,6,291.0
14.4 Finish,6,302.0
14.5 Start,6,312.0
14.5 Finish,6,322.0
14.6 Start,7,332.0
14.6 Finish,7,341.0
14.7 Start,7,351.0
14.7 Finish,7,360.0
14.8 Start,8,370.0
14.8 Finish,7,381.0
15.1 Start,8,391.0
15.1 Finish,8,400.0
15.2 Start,8,411.0
15.2 Finish,8,420.0
15.3 Start,8,430.0
15.3 Finish,8,440.0
15.4 Start,8,450.0
15.4 Finish,8,459.0
15.5 Start,8,469.0
15.5 Finish,8,479.0
15.6 Start,9,490.0
15.6 Finish,9,499.0
15.7 Start,9,508.0
15.7 Finish,9,518.0
15.8 Start,9,529.0
15.8 Finish,9,538.0
16.1 Start,9,549.0
16.1 Finish,9,559.0
16.2 Start,10,567.0
16.2 Finish,10,576.0
