YoYo Test Level,RPE,Time
5.1 Start,2,0.0
5.1 Finish,2,12.0
9.1 Start,2,25.0
9.1 Finish,2,35.0
11.1 Start,3,46.0
11.1 Finish,3,56.0
11.2 Start,4,67.0
11.2 Finish,4,77.0
12.1 Start,4,88.0
12.1 Finish,4,98.0
12.2 Start,4,108.0
12.2 Finish,4,119.0
12.3 Start,4,129.0
12.3 Finish,4,139.0
13.1 Start,5,149.0
13.1 Finish,5,160.0
13.2 Start,5,170.0
13.2 Finish,6,181.0
13.3 Start,6,190.0
13.3 Finish,7,200.0
13.4 Start,7,211.0
13.4 Finish,7,222.0
14.1 Start,7,231.0
14.1 Finish,8,241.0
14.2 Start,8,251.0
14.2 Finish,8,261.0
14.3 Start,8,271.0
14.3 Finish,8,281.0
14.4 Start,8,291.0
14.4 Finish,8,301.0
14.5 Start,8,311.0
14.5 Finish,8,322.0
14.6 Start,8,332.0
14.6 Finish,8,342.0
14.7 Start,8,352.0
14.7 Finish,9,363.0
14.8 Start,9,373.0
14.8 Finish,9,383.0
15.1 Start,9,393.0
15.1 Finish,9,403.0
